Road_Segment,Day_Type,Time_Slot,Traffic_Level,Weight,Latitude,Longitude
Geliioya Junction,Monday,6:00-10:40 AM,Low (Green),1,7.214961201,80.59797181
Geliioya Junction,Monday,6:00-10:40 AM,Low (Green),1,7.21467255,80.59801016
Geliioya Junction,Monday,6:00-10:40 AM,Low (Green),1,7.214325826,80.59820174
Geliioya Junction,Monday,6:00-10:40 AM,Low (Green),1,7.213644938,80.59831287
Geliioya Junction,Monday,11:00-11:05 AM,Moderate (Orange),2,7.215444406,80.59799386
Geliioya Junction,Monday,11:07-11:10 AM,Moderate (Orange),2,7.214744454,80.59803179
Geliioya Junction,Monday,11:20-11:30 AM,Moderate (Orange),2,7.215428641,80.597985
Geliioya Junction,Monday,11:20-11:30 AM,Moderate (Orange),2,7.215101121,80.59799616
Geliioya Junction,Monday,11:20-11:30 AM,Moderate (Orange),2,7.21485565,80.59800589
Geliioya Junction,Monday,11:35-11:40 AM,Moderate (Orange),2,7.214821653,80.59802234
Geliioya Junction,Monday,11:35-11:40 AM,Moderate (Orange),2,7.214821653,81.59802234
Geliioya Junction,Monday,11:35-11:40 AM,Moderate (Orange),2,7.214821653,82.59802234
Geliioya Junction,Monday,11:40-11:55 AM,Moderate (Orange),2,7.214821653,83.59802234
Geliioya Junction,Monday,11:55-12:00 AM,Moderate (Orange),2,7.214649196,80.59805004
Geliioya Junction,Monday,12:05-12:15 AM,Moderate (Orange),2,7.214387316,80.59820314
Geliioya Junction,Monday,12:05-12:15 AM,Moderate (Orange),2,7.214029813,80.59830746
Geliioya Junction,Monday,12:05-12:15 AM,Moderate (Orange),2,7.214467756,80.59813744
Geliioya Junction,Monday,12:05-12:15 AM,Moderate (Orange),2,7.214266813,80.59823313
Geliioya Junction,Monday,12:05-12:15 AM,Moderate (Orange),2,7.214010816,80.59828326
Geliioya Junction,Monday,12:05-12:15 AM,Low (Green),1,7.214669373,80.59800416
Geliioya Junction,Monday,12:05-12:15 AM,Low (Green),1,7.214883875,80.5979795
Geliioya Junction,Monday,12:16-3:30 PM,Low (Green),1,7.214961201,80.59797181
Geliioya Junction,Monday,12:16-3:30 PM,Low (Green),1,7.21467255,80.59801016
Geliioya Junction,Monday,12:16-3:30 PM,Low (Green),1,7.214325826,80.59820174
Geliioya Junction,Monday,12:16-3:30 PM,Low (Green),1,7.213644938,80.59831287
Geliioya Junction,Monday,3:30-3:40 PM,Moderate (Orange),2,7.214475611,80.59813377
Geliioya Junction,Monday,3:30-3:40 PM,Moderate (Orange),2,7.214258847,80.59824382
Geliioya Junction,Monday,3:30-3:40 PM,Moderate (Orange),2,7.214008319,80.59828829
Geliioya Junction,Monday,3:45-3:50 PM,Low (Green),1,7.214017229,80.59829507
Geliioya Junction,Monday,3:45-3:50 PM,Low (Green),1,7.214270078,80.59825898
Geliioya Junction,Monday,3:45-3:50 PM,Low (Green),1,7.214491601,80.598162
Geliioya Junction,Monday,3:45-3:50 PM,Low (Green),1,7.214675084,80.59803344
Geliioya Junction,Monday,3:45-3:50 PM,Low (Green),1,7.215254787,80.59799213
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214671989,80.59802758
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214596817,80.59806714
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214498361,80.59814426
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214477438,80.59813033
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214486932,80.59815744
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214257509,80.59824037
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.21426542,80.59825951
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214012264,80.59828184
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214020175,80.59830417
Geliioya Junction,Monday,3:55-4:15 PM,Moderate (Orange),2,7.214017011,80.59830736
Geliioya Junction,Monday,3:55-4:15 PM,Low (Green),1,7.214678902,80.5980149
Geliioya Junction,Monday,3:55-4:15 PM,Low (Green),1,7.215314019,80.59794741
Geliioya Junction,Monday,3:55-4:15 PM,Low (Green),1,7.213818539,80.59829901
Geliioya Junction,Monday,3:55-4:15 PM,Low (Green),1,7.213252629,80.59833941
Geliioya Junction,Monday,3:55-4:15 PM,Low (Green),1,7.213252629,81.59833941
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.214526935,80.59813538
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.214468393,80.59813002
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.214274142,80.59822121
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.214090535,80.59827486
